-103.554	12.404	5.49464
-98.967	15.379	15.12157
246.008	15.191	4.89044
26.262	11.772	4.95473
-324.68	13.082	19.3921
61.994	15.317	17.09232
281.344	11.65	10.37866
-44.365	12.71	14.01022
-175.331	12.005	15.8572
-183.207	12.41	9.55101
-223.469	13.639	18.60249
140.961	14.882	5.39415
-4.894	14.44	2.17496
288.535	12.031	18.97508
-152.808	12.727	9.15531
279.142	14.041	19.16241
-3.593	14.954	13.47777
-308.438	12.058	12.58498
216.419	11.768	17.19568
-142.166	14.907	14.33109
-27.445	12.956	15.0208
-326.335	12.731	12.98349
-185.672	13.702	6.59566
196.228	14.909	17.87174
149.847	14.98	3.03402
309.771	13.221	9.01255
-152.916	11.687	15.62239
84.166	15.146	3.2398
28.547	12.594	11.16361
321.844	12.398	10.74832
179.805	14.919	3.37575
-163.782	14.26	15.8773
-44.697	11.782	14.01938
-127.087	13.952	10.87325
48.848	12.094	3.47926
-161.339	14.558	9.91134
-306.272	12.049	4.47245
-76.786	12.712	6.13408
-179.449	12.033	4.85148
196.902	13.359	16.24688
82.042	14.112	15.84635
23.697	15.436	4.92682
-105.517	11.57	16.70266
201.956	12.379	4.80778
-208.184	15.173	9.84673
-12.749	12.709	6.9901
-54.549	14.023	7.8153
-170.869	14.333	17.29366
-58.274	12.424	18.04562
55.992	11.9	5.87105
225.939	14.321	13.15114
-80.229	11.975	10.84624
302.714	12.84	17.9558
52.102	13.719	13.86479
121.268	14.869	7.27083
190.13	13.625	8.97589
-88.835	12.931	8.73554
-310.264	15.495	2.70783
277.876	13.774	2.20618
-96.835	12.343	13.28658
81.444	13.996	3.47418
83.069	11.714	10.47063
125.167	13.767	16.63125
-72.678	14.505	16.26746
-138.271	12.735	12.1646
318.276	14.397	3.80721
-342.757	13.591	5.739
110.904	14.382	16.00075
120.439	14.027	10.82618
-18.719	12.976	16.27228
193.728	12.38	15.75713
-238.056	12.657	18.42517
-247.941	14.496	5.81034
-246.808	15.129	11.9654
-238.738	15.244	13.95417
-185.319	14.151	8.24685
62.048	14.881	3.88806
13.006	11.698	6.6892
93.93	15.043	14.01262
256.931	15.491	2.1014
282.316	13.56	12.14717
-15.118	15.208	6.86272
176.452	14.611	14.8639
-182.185	12.928	2.96731
264.595	12.825	16.93554
